Facility Name,BeginDate,EndDate,PayerName,Proration,SpclRate,Amount,Pct,Monthly,HospHold,HospHoldAmount,HospPct,HospHoldMonthly,TherLv,TherLvHoldAmount,TherLvPct,TherLvHoldMonthly,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,7399,0,1,1,7399,0,1,1,7399,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,7029,0,1,1,7029,0,1,1,7029,0,1,
Ashford Place Health Campus AL,3/22/2025,12/31/2025,Private AL,2,1,6449,0,1,1,6449,0,1,1,6449,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6166,0,1,1,6166,0,1,1,6166,0,1,
Ashford Place Health Campus AL,5/1/2025,12/31/2025,Private AL,2,1,5709,0,1,1,5709,0,1,1,5709,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6107,0,1,1,6107,0,1,1,6107,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5603,0,1,1,5603,0,1,1,5603,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5659,0,1,1,5659,0,1,1,5659,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6107,0,1,1,6107,0,1,1,6107,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5603,0,1,1,5603,0,1,1,5603,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,8453,0,1,1,8453,0,1,1,8453,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,7900,0,1,1,7900,0,1,1,7900,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6107,0,1,1,6107,0,1,1,6107,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5603,0,1,1,5603,0,1,1,5603,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6386,0,1,1,6386,0,1,1,6386,0,1,
Ashford Place Health Campus AL,6/17/2025,12/31/2025,Private AL,2,1,5859,0,1,1,5859,0,1,1,5859,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6211,0,1,1,6211,0,1,1,6211,0,1,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,5859,0,1,1,5859,0,1,1,5859,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,8468,0,1,1,8468,0,1,1,8468,0,1,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,7989,0,1,1,7989,0,1,1,7989,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5700,0,1,1,5700,0,1,1,5700,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6107,0,1,1,6107,0,1,1,6107,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5603,0,1,1,5603,0,1,1,5603,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,7313,0,1,1,7313,0,1,1,7313,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,6771,0,1,1,6771,0,1,1,6771,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6107,0,1,1,6107,0,1,1,6107,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5603,0,1,1,5603,0,1,1,5603,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5659,0,1,1,5659,0,1,1,5659,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,7843,0,1,1,7843,0,1,1,7843,0,1,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,7399,0,1,1,7399,0,1,1,7399,0,1,
Ashford Place Health Campus AL,6/14/2023,,Hospice Private,3,1,3424,0,1,1,3424,0,1,1,3424,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6112,0,1,1,6112,0,1,1,6112,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5659,0,1,1,5659,0,1,1,5659,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5659,0,1,1,5659,0,1,1,5659,0,1,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,7399,0,1,1,7399,0,1,1,7399,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Hospice Private,2,1,7843,0,1,1,7843,0,1,1,7843,0,1,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Hospice Private,2,1,7399,0,1,1,7399,0,1,1,7399,0,1,
Ashford Place Health Campus AL,6/14/2023,,Hospice Private,3,1,4940,0,1,1,4940,0,1,1,4940,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5603,0,1,1,5603,0,1,1,5603,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6107,0,1,1,6107,0,1,1,6107,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5603,0,1,1,5603,0,1,1,5603,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6107,0,1,1,6107,0,1,1,6107,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5603,0,1,1,5603,0,1,1,5603,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,7487,0,1,1,7487,0,1,1,7487,0,1,
Ashford Place Health Campus AL,6/14/2023,,Hospice Private,3,1,6633,0,1,1,6633,0,1,1,6633,0,1,
